10.1016/j.dib.2019.104570,S0531556519301706
10.1016/j.dib.2016.03.011,S0032386116300544
10.1016/j.dib.2019.104216,S0732312318300774
10.1016/j.dib.2018.04.128,S0164070416302270
10.1016/j.dib.2017.07.049,S1053811917305050
10.1016/j.dib.2016.03.005,S0091743516000244
10.1016/j.dib.2019.104202,S0023643819302695
10.1016/j.dib.2018.11.079,S0001457518303373
10.1016/j.dib.2018.09.123,S136970211830302X
10.1016/j.dib.2015.09.040,S088875431530032X
10.1016/j.dib.2017.07.061,S1369847816306556
10.1016/j.dib.2018.04.114,S0014480017306020
10.1016/j.dib.2018.11.051,S2214289418302072
10.1016/j.dib.2018.11.045,S074301671731121X
10.1016/j.dib.2017.07.075,S1532046417301090
10.1016/j.dib.2016.03.039,S1532046416000198
10.1016/j.dib.2015.09.054,S0264127515301969
10.1016/j.dib.2018.01.051,S2352409X17304790
10.1016/j.dib.2021.107024,S2405844021005557
10.1016/j.dib.2018.07.028,S1751616118304594
10.1016/j.dib.2017.11.018,S0167701217302713
10.1016/j.dib.2016.08.063,S1873506116300654
10.1016/j.dib.2020.105529,S0928098720300208
10.1016/j.dib.2016.05.054,S0003269716000701
10.1016/j.dib.2017.01.018,S1751616117300218
10.1016/j.dib.2018.01.086,S1359646217303512
10.1016/j.dib.2021.107018,S0048969721007701
10.1016/j.dib.2018.11.092,S0301211518303567
10.1016/j.dib.2020.105501,S0004370220300047
10.1016/j.dib.2015.12.026,S0925443915003129
10.1016/j.dib.2018.01.092,S0950061817302490
10.1016/j.dib.2019.104014,S0378381218305259
10.1016/j.dib.2018.05.139,S0955286316306088
10.1016/j.dib.2021.106845,S0950061820331573
10.1016/j.dib.2016.12.014,S0001706X16304934
10.1016/j.dib.2014.11.002,S1874391914005041
10.1016/j.dib.2019.104766,S0956053X19302946
10.1016/j.dib.2018.10.068,S0031942218305934
10.1016/j.dib.2020.105930,S0143622818302911
10.1016/j.dib.2019.104000,S0022283619300634
10.1016/j.dib.2021.106879,S0341816220306032
10.1016/j.dib.2018.08.126,S0031320318301146
10.1016/j.dib.2021.106886,S2352409X20305587
10.1016/j.dib.2016.04.051,S1874391916300823
10.1016/j.dib.2019.104969,S0040580919301832
10.1016/j.dib.2020.106544,S0147651320311398
10.1016/j.dib.2021.107232,S0022395621000145
10.1016/j.dib.2016.11.100,S0141813016313836
10.1016/j.dib.2021.106892,S0191886921000490
10.1016/j.dib.2020.106222,S002245962030428X
10.1016/j.dib.2021.107554,S0264275121002560
